Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Pick
0,0.0,46.78586,-121.73694,1667,23.9,0.0,False
1,9.6,46.78583,-121.73694,1667,22.6,2.6,False
2,19.1,46.78581,-121.73695,1667,21.3,5.2,False
3,28.7,46.78579,-121.73696,1667,20.0,7.8,False
4,38.3,46.78577,-121.73697,1667,20.0,10.4,False
5,47.9,46.78574,-121.73698,1668,20.0,13.0,True
6,57.4,46.78572,-121.73699,1668,20.0,15.6,True
7,67.0,46.78570,-121.73700,1668,20.0,18.2,True
8,76.6,46.78568,-121.73701,1668,20.0,20.8,True
9,86.1,46.78565,-121.73702,1668,20.0,23.4,True
10,95.7,46.78563,-121.73703,1668,20.0,26.0,True
11,105.3,46.78564,-121.73718,1668,15.7,37.2,True
12,114.9,46.78565,-121.73732,1667,11.4,48.4,True
13,124.4,46.78566,-121.73747,1667,12.0,59.6,True
14,134.0,46.78564,-121.73761,1667,12.1,71.0,True
15,143.6,46.78562,-121.73776,1667,12.2,82.5,True
16,153.1,46.78560,-121.73791,1667,12.4,93.9,True
17,162.7,46.78556,-121.73800,1666,10.5,101.7,True
18,172.3,46.78552,-121.73808,1666,10.4,109.5,True
19,181.8,46.78549,-121.73817,1665,12.3,117.3,True
20,191.4,46.78545,-121.73825,1665,12.5,124.6,True
21,201.0,46.78541,-121.73833,1664,12.7,131.9,True
22,210.6,46.78538,-121.73841,1664,13.0,139.2,True
23,220.1,46.78534,-121.73849,1663,13.0,146.5,True
24,229.7,46.78530,-121.73857,1663,13.0,153.8,True
25,239.3,46.78525,-121.73868,1663,11.5,163.9,True
26,248.8,46.78520,-121.73879,1662,10.1,174.1,True
27,258.4,46.78515,-121.73890,1662,10.5,184.3,True
28,268.0,46.78510,-121.73901,1662,10.5,194.5,True
29,277.6,46.78504,-121.73912,1662,10.5,204.8,True
30,287.1,46.78498,-121.73922,1662,10.6,215.0,True
31,296.7,46.78493,-121.73933,1662,10.6,225.3,True
32,306.3,46.78487,-121.73944,1662,10.6,235.6,True
33,315.8,46.78481,-121.73951,1660,9.9,244.5,True
34,325.4,46.78474,-121.73957,1659,9.9,253.4,True
35,335.0,46.78468,-121.73964,1657,10.5,262.4,True
36,344.6,46.78460,-121.73966,1657,10.9,270.5,True
37,354.1,46.78453,-121.73968,1657,11.3,278.6,True
38,363.7,46.78446,-121.73969,1658,11.8,286.7,True
39,373.3,46.78439,-121.73971,1658,11.8,294.8,True
40,382.8,46.78431,-121.73973,1658,11.8,302.9,True
41,392.4,46.78419,-121.73973,1656,10.2,316.6,True
42,402.0,46.78407,-121.73974,1655,13.0,330.4,True
43,411.6,46.78395,-121.73975,1653,15.8,344.1,True
44,421.1,46.78389,-121.73977,1652,12.3,350.8,True
45,430.7,46.78383,-121.73980,1652,10.4,357.4,True
46,440.3,46.78377,-121.73982,1652,13.9,364.1,True
47,449.8,46.78372,-121.73985,1651,13.9,370.8,True
48,459.4,46.78365,-121.73993,1650,12.2,380.8,True
49,469.0,46.78358,-121.74002,1650,10.6,390.8,True
50,478.6,46.78351,-121.74010,1650,10.3,400.9,True
51,488.1,46.78344,-121.74019,1649,10.3,410.9,True
52,497.7,46.78342,-121.74029,1649,9.8,419.1,True
53,507.3,46.78339,-121.74039,1648,10.7,427.3,True
54,516.8,46.78337,-121.74049,1648,11.7,435.4,True
55,526.4,46.78334,-121.74059,1647,11.7,443.6,True
56,536.0,46.78332,-121.74070,1647,11.7,451.8,True
57,545.5,46.78332,-121.74081,1646,11.4,460.6,True
58,555.1,46.78333,-121.74093,1646,11.1,469.3,True
59,564.7,46.78334,-121.74104,1645,10.8,478.1,True
60,574.3,46.78334,-121.74115,1645,10.8,486.8,True
61,583.8,46.78335,-121.74127,1644,10.8,495.6,True
62,593.4,46.78337,-121.74138,1643,10.9,504.1,False
63,603.0,46.78340,-121.74148,1643,11.1,512.6,False
64,612.5,46.78342,-121.74159,1642,11.2,521.1,False
65,622.1,46.78345,-121.74169,1642,11.2,529.6,True
66,631.7,46.78349,-121.74179,1641,11.1,538.2,True
67,641.3,46.78353,-121.74188,1641,11.1,546.8,True
68,650.8,46.78357,-121.74198,1640,11.1,555.3,True
69,660.4,46.78365,-121.74212,1641,11.1,569.9,True
70,670.0,46.78374,-121.74227,1643,14.0,584.4,True
71,679.5,46.78383,-121.74241,1644,17.0,598.9,True
72,689.1,46.78387,-121.74247,1644,13.2,605.9,True
73,698.7,46.78392,-121.74253,1644,9.6,612.9,True
74,708.3,46.78397,-121.74259,1643,13.4,620.0,True
75,717.8,46.78402,-121.74264,1643,13.4,627.0,True
76,727.4,46.78408,-121.74268,1642,13.5,633.8,False
77,737.0,46.78413,-121.74272,1642,13.6,640.6,True
78,746.5,46.78419,-121.74276,1642,13.7,647.4,True
79,756.1,46.78424,-121.74280,1641,13.7,654.3,True
80,765.7,46.78430,-121.74284,1640,13.7,661.1,False
81,775.3,46.78435,-121.74288,1640,13.7,667.9,True
82,784.8,46.78443,-121.74292,1639,12.6,676.9,True
83,794.4,46.78451,-121.74296,1639,11.5,685.8,True
84,804.0,46.78458,-121.74299,1638,10.5,694.8,True
85,813.5,46.78475,-121.74310,1637,14.4,715.3,True
86,823.1,46.78492,-121.74320,1636,20.2,735.7,True
87,832.7,46.78496,-121.74325,1636,18.3,741.1,False
88,842.2,46.78500,-121.74329,1636,10.8,746.4,True
89,851.8,46.78503,-121.74334,1635,15.9,751.8,True
90,861.4,46.78507,-121.74338,1635,15.9,757.1,True
91,871.0,46.78511,-121.74343,1635,15.9,762.5,True
92,880.5,46.78514,-121.74359,1634,12.0,775.5,True
93,890.1,46.78517,-121.74376,1634,11.0,788.6,True
94,899.7,46.78521,-121.74392,1633,14.8,801.7,True
95,909.2,46.78519,-121.74399,1633,11.0,807.1,True
96,918.8,46.78518,-121.74406,1632,11.9,812.6,True
97,928.4,46.78517,-121.74413,1632,15.7,818.1,True
98,938.0,46.78516,-121.74420,1631,15.7,823.5,True
99,947.5,46.78514,-121.74427,1631,15.7,829.0,True
100,957.1,46.78510,-121.74433,1630,15.0,836.0,False
101,966.7,46.78505,-121.74439,1630,14.2,843.0,False
102,976.2,46.78500,-121.74446,1629,13.4,850.0,False
103,985.8,46.78496,-121.74452,1628,13.4,857.0,False
104,995.4,46.78491,-121.74458,1628,13.4,864.1,False
105,1005.0,46.78486,-121.74464,1627,13.4,871.1,False
106,1014.5,46.78482,-121.74466,1627,14.5,876.0,False
107,1024.1,46.78478,-121.74467,1626,15.5,880.8,False
108,1033.7,46.78474,-121.74469,1626,16.6,885.7,False
109,1043.2,46.78469,-121.74471,1626,16.6,890.6,True
110,1052.8,46.78465,-121.74473,1625,16.6,895.5,True
111,1062.4,46.78461,-121.74474,1625,16.6,900.4,True
112,1072.0,46.78454,-121.74475,1624,15.2,908.1,True
113,1081.5,46.78447,-121.74476,1624,13.8,915.8,True
114,1091.1,46.78440,-121.74476,1624,12.4,923.5,False
115,1100.7,46.78433,-121.74477,1623,12.4,931.1,True
116,1110.2,46.78423,-121.74477,1622,10.3,942.9,True
117,1119.8,46.78412,-121.74477,1621,10.8,954.7,True
118,1129.4,46.78402,-121.74476,1620,12.9,966.5,True
119,1138.9,46.78391,-121.74476,1619,12.9,978.3,True
120,1148.5,46.78383,-121.74476,1618,11.2,986.7,False
121,1158.1,46.78376,-121.74476,1618,9.6,995.1,True
122,1167.7,46.78368,-121.74476,1618,11.3,1003.5,True
123,1177.2,46.78361,-121.74476,1617,11.3,1011.9,True
124,1186.8,46.78355,-121.74476,1617,12.3,1018.3,True
125,1196.4,46.78349,-121.74476,1616,13.3,1024.8,True
126,1205.9,46.78343,-121.74476,1616,14.2,1031.3,True
127,1215.5,46.78338,-121.74476,1615,14.2,1037.8,True
128,1225.1,46.78332,-121.74476,1615,14.2,1044.2,True
129,1234.7,46.78321,-121.74476,1615,11.8,1055.6,True
130,1244.2,46.78311,-121.74476,1616,9.8,1066.9,True
131,1253.8,46.78301,-121.74476,1616,12.2,1078.3,True
132,1263.4,46.78291,-121.74475,1616,12.2,1089.6,True
133,1272.9,46.78285,-121.74475,1615,10.0,1096.5,True
134,1282.5,46.78278,-121.74475,1614,11.4,1103.4,True
135,1292.1,46.78272,-121.74475,1614,13.6,1110.3,True
136,1301.7,46.78266,-121.74475,1613,13.6,1117.2,True
137,1311.2,46.78258,-121.74475,1613,12.5,1126.3,True
138,1320.8,46.78250,-121.74475,1613,11.3,1135.5,True
139,1330.4,46.78241,-121.74476,1613,10.2,1144.6,False
140,1339.9,46.78233,-121.74476,1613,10.2,1153.8,True
141,1349.5,46.78230,-121.74477,1612,12.7,1158.0,False
142,1359.1,46.78226,-121.74478,1612,15.2,1162.2,False
143,1368.7,46.78222,-121.74480,1611,17.6,1166.4,False
144,1378.2,46.78218,-121.74481,1610,17.6,1170.6,False
145,1387.8,46.78215,-121.74482,1610,17.6,1174.8,False
146,1397.4,46.78211,-121.74483,1609,17.6,1179.0,False
147,1406.9,46.78207,-121.74484,1609,17.6,1183.2,True
148,1416.5,46.78204,-121.74486,1608,17.6,1187.4,True
149,1426.1,46.78198,-121.74490,1608,15.9,1195.0,True
150,1435.6,46.78192,-121.74495,1607,14.2,1202.6,False
151,1445.2,46.78186,-121.74500,1607,12.5,1210.2,True
152,1454.8,46.78180,-121.74506,1607,12.4,1218.0,True
153,1464.4,46.78174,-121.74512,1606,12.3,1225.9,True
154,1473.9,46.78169,-121.74518,1606,12.2,1233.7,True
155,1483.5,46.78165,-121.74525,1606,12.9,1240.2,True
156,1493.1,46.78162,-121.74532,1605,13.5,1246.6,True
157,1502.6,46.78158,-121.74539,1604,14.2,1253.1,True
158,1512.2,46.78155,-121.74545,1604,14.2,1259.6,True
159,1521.8,46.78152,-121.74555,1604,13.6,1267.2,True
160,1531.4,46.78150,-121.74564,1604,13.0,1274.9,True
161,1540.9,46.78148,-121.74574,1604,12.4,1282.6,True
162,1550.5,46.78145,-121.74583,1604,12.4,1290.3,True
163,1560.1,46.78143,-121.74593,1604,12.4,1298.0,True
164,1569.6,46.78143,-121.74604,1603,11.9,1306.7,True
165,1579.2,46.78144,-121.74616,1603,11.4,1315.4,True
166,1588.8,46.78144,-121.74627,1602,10.9,1324.1,True
167,1598.4,46.78147,-121.74639,1601,10.4,1333.8,True
168,1607.9,46.78149,-121.74651,1600,9.9,1343.5,True
169,1617.5,46.78152,-121.74663,1600,9.8,1353.2,True
170,1627.1,46.78155,-121.74675,1599,9.8,1362.8,True
171,1636.6,46.78159,-121.74686,1598,9.7,1371.9,True
172,1646.2,46.78162,-121.74696,1598,10.1,1380.9,True
173,1655.8,46.78166,-121.74707,1597,10.4,1389.9,True
174,1665.4,46.78170,-121.74716,1597,10.7,1398.4,True
175,1674.9,46.78174,-121.74726,1596,11.0,1406.8,True
176,1684.5,46.78178,-121.74735,1596,11.2,1415.3,True
177,1694.1,46.78182,-121.74745,1595,11.2,1423.7,True
178,1703.6,46.78186,-121.74754,1595,11.2,1432.2,True
179,1713.2,46.78191,-121.74765,1595,10.3,1442.6,True
180,1722.8,46.78196,-121.74777,1594,9.8,1452.9,True
181,1732.4,46.78202,-121.74788,1594,10.8,1463.3,True
182,1741.9,46.78207,-121.74799,1594,10.8,1473.7,True
183,1751.5,46.78212,-121.74810,1594,10.5,1483.5,True
184,1761.1,46.78217,-121.74821,1593,10.2,1493.4,True
185,1770.6,46.78222,-121.74831,1592,10.0,1503.2,True
186,1780.2,46.78227,-121.74842,1592,10.0,1513.1,True
187,1789.8,46.78232,-121.74850,1592,10.0,1521.3,True
188,1799.3,46.78237,-121.74858,1591,10.8,1529.5,True
189,1808.9,46.78242,-121.74867,1591,11.6,1537.8,True
190,1818.5,46.78250,-121.74876,1590,9.9,1549.4,True
191,1828.1,46.78258,-121.74885,1589,11.0,1561.0,True
192,1837.6,46.78266,-121.74895,1588,12.6,1572.6,True
193,1847.2,46.78275,-121.74901,1588,12.4,1583.7,True
194,1856.8,46.78284,-121.74908,1587,12.1,1594.9,True
195,1866.3,46.78293,-121.74914,1586,11.9,1606.0,True
196,1875.9,46.78303,-121.74919,1586,11.9,1617.2,True
197,1885.5,46.78306,-121.74922,1586,10.4,1621.8,False
198,1895.1,46.78310,-121.74925,1585,13.7,1626.4,False
199,1904.6,46.78314,-121.74927,1585,17.0,1631.0,False
200,1914.2,46.78317,-121.74930,1584,17.0,1635.6,False
201,1923.8,46.78322,-121.74933,1584,16.6,1641.0,False
202,1933.3,46.78326,-121.74939,1583,15.4,1648.0,False
203,1942.9,46.78331,-121.74946,1583,14.2,1655.0,False
204,1952.5,46.78336,-121.74952,1583,13.4,1662.1,False
205,1962.1,46.78341,-121.74958,1582,13.4,1669.1,False
206,1971.6,46.78343,-121.74963,1582,14.2,1674.5,False
207,1981.2,46.78345,-121.74969,1582,15.4,1679.2,False
208,1990.8,46.78347,-121.74974,1581,16.5,1683.8,False
209,2000.3,46.78349,-121.74980,1581,16.9,1688.5,True
210,2009.9,46.78351,-121.74985,1581,16.9,1693.2,True
211,2019.5,46.78354,-121.75031,1579,17.5,1728.4,True
212,2029.1,46.78351,-121.75039,1579,18.6,1735.2,False
213,2038.6,46.78349,-121.75048,1578,19.6,1742.0,False
214,2048.2,46.78347,-121.75056,1578,13.7,1748.8,False
215,2057.8,46.78343,-121.75063,1578,13.7,1755.6,False
216,2067.3,46.78339,-121.75070,1578,13.7,1762.5,False
217,2076.9,46.78334,-121.75076,1577,13.6,1769.4,False
218,2086.5,46.78330,-121.75082,1577,13.6,1776.3,False
219,2096.0,46.78325,-121.75087,1577,13.5,1783.4,False
220,2105.6,46.78319,-121.75090,1577,13.3,1790.6,False
221,2115.2,46.78313,-121.75094,1576,13.2,1797.7,False
222,2124.8,46.78307,-121.75097,1576,13.2,1804.9,True
223,2134.3,46.78283,-121.75096,1574,15.3,1830.8,True
224,2143.9,46.78281,-121.75095,1574,13.2,1833.7,False
225,2153.5,46.78279,-121.75093,1574,11.1,1836.6,False
226,2163.0,46.78276,-121.75091,1574,19.6,1839.5,False
227,2172.6,46.78274,-121.75090,1574,19.6,1842.4,False
228,2182.2,46.78272,-121.75088,1573,19.6,1845.3,False
229,2191.8,46.78269,-121.75086,1573,19.6,1848.2,False
230,2201.3,46.78267,-121.75085,1573,19.6,1851.1,False
231,2210.9,46.78265,-121.75083,1573,19.6,1854.0,False
232,2220.5,46.78262,-121.75081,1573,19.6,1856.9,True
233,2230.0,46.78255,-121.75069,1572,14.6,1869.7,True
234,2239.6,46.78247,-121.75056,1572,9.7,1882.5,True
235,2249.2,46.78245,-121.75049,1572,11.2,1888.9,False
236,2258.8,46.78242,-121.75041,1571,11.1,1895.3,False
237,2268.3,46.78240,-121.75033,1570,14.3,1901.7,False
238,2277.9,46.78238,-121.75025,1570,14.3,1908.1,False
239,2287.5,46.78235,-121.75018,1570,14.3,1914.5,False
240,2297.0,46.78233,-121.75010,1569,14.3,1920.9,True
241,2306.6,46.78231,-121.75003,1568,14.5,1926.9,True
242,2316.2,46.78230,-121.74995,1568,14.8,1932.8,True
243,2325.8,46.78228,-121.74988,1568,15.0,1938.8,False
244,2335.3,46.78226,-121.74980,1567,15.0,1944.8,True
245,2344.9,46.78224,-121.74970,1567,13.9,1952.8,False
246,2354.5,46.78221,-121.74960,1566,12.9,1960.8,False
247,2364.0,46.78219,-121.74950,1566,11.9,1968.8,False
248,2373.6,46.78217,-121.74941,1565,11.9,1976.8,False
249,2383.2,46.78214,-121.74932,1565,12.5,1983.7,False
250,2392.8,46.78211,-121.74926,1565,13.6,1989.5,False
251,2402.3,46.78209,-121.74920,1564,14.7,1995.2,False
252,2411.9,46.78206,-121.74913,1564,15.3,2001.0,True
253,2421.5,46.78203,-121.74907,1564,15.3,2006.7,True
254,2431.0,46.78199,-121.74900,1564,14.8,2013.5,True
255,2440.6,46.78195,-121.74893,1563,14.3,2020.3,True
256,2450.2,46.78192,-121.74886,1562,13.8,2027.0,True
257,2459.7,46.78188,-121.74879,1562,13.8,2033.8,True
258,2469.3,46.78180,-121.74865,1561,10.3,2047.5,False
259,2478.9,46.78173,-121.74851,1560,12.3,2061.3,True
260,2488.5,46.78169,-121.74844,1560,12.4,2068.0,False
261,2498.0,46.78165,-121.74837,1560,10.3,2074.8,True
262,2507.6,46.78161,-121.74830,1559,13.8,2081.6,True
263,2517.2,46.78158,-121.74823,1559,13.8,2088.3,True
264,2526.7,46.78152,-121.74814,1559,12.8,2097.1,True
265,2536.3,46.78147,-121.74805,1558,11.7,2105.9,True
266,2545.9,46.78142,-121.74797,1558,10.7,2114.7,True
267,2555.5,46.78135,-121.74790,1558,10.5,2123.9,True
268,2565.0,46.78128,-121.74784,1557,10.4,2133.1,True
269,2574.6,46.78121,-121.74777,1556,10.2,2142.3,True
270,2584.2,46.78114,-121.74771,1556,10.2,2151.4,True
271,2593.7,46.78107,-121.74767,1555,10.6,2159.8,True
272,2603.3,46.78100,-121.74763,1555,11.0,2168.2,True
273,2612.9,46.78093,-121.74760,1554,11.4,2176.5,True
274,2622.5,46.78086,-121.74758,1554,11.9,2183.9,True
275,2632.0,46.78080,-121.74757,1553,12.4,2191.2,True
276,2641.6,46.78073,-121.74756,1553,12.9,2198.5,False
277,2651.2,46.78067,-121.74755,1552,12.9,2205.9,True
278,2660.7,46.78060,-121.74754,1552,12.9,2213.2,True
279,2670.3,46.78053,-121.74755,1551,12.6,2221.3,False
280,2679.9,46.78046,-121.74756,1551,12.2,2229.3,False
281,2689.5,46.78038,-121.74757,1550,11.8,2237.4,True
282,2699.0,46.78032,-121.74760,1549,12.1,2244.8,False
283,2708.6,46.78026,-121.74764,1549,12.5,2252.2,False
284,2718.2,46.78020,-121.74767,1548,12.8,2259.7,False
285,2727.7,46.78013,-121.74771,1548,12.8,2267.1,True
286,2737.3,46.78007,-121.74774,1547,12.8,2274.5,True
287,2746.9,46.78003,-121.74779,1547,13.8,2280.0,False
288,2756.4,46.77999,-121.74783,1547,14.7,2285.5,False
289,2766.0,46.77995,-121.74787,1547,15.7,2291.0,False
290,2775.6,46.77991,-121.74791,1547,15.7,2296.5,False
291,2785.2,46.77986,-121.74796,1547,15.1,2303.1,False
292,2794.7,46.77981,-121.74804,1546,13.6,2311.7,False
293,2804.3,46.77975,-121.74812,1546,12.0,2320.3,False
294,2813.9,46.77969,-121.74819,1546,11.0,2329.0,False
295,2823.4,46.77964,-121.74827,1545,11.0,2337.6,False
296,2833.0,46.77959,-121.74833,1545,12.0,2344.1,False
297,2842.6,46.77956,-121.74838,1545,13.6,2349.6,False
298,2852.2,46.77952,-121.74843,1544,15.2,2355.1,False
299,2861.7,46.77949,-121.74848,1544,15.7,2360.6,False
300,2871.3,46.77945,-121.74853,1544,15.7,2366.1,True
301,2880.9,46.77942,-121.74857,1544,16.4,2370.1,False
302,2890.4,46.77940,-121.74860,1544,17.1,2374.2,False
303,2900.0,46.77937,-121.74863,1544,17.8,2378.3,False
304,2909.6,46.77934,-121.74867,1543,17.8,2382.3,False
305,2919.2,46.77931,-121.74870,1543,17.8,2386.4,False
306,2928.7,46.77928,-121.74874,1543,17.8,2390.4,True
307,2938.3,46.77921,-121.74878,1542,15.7,2398.8,True
308,2947.9,46.77914,-121.74882,1542,13.5,2407.2,True
309,2957.4,46.77908,-121.74887,1542,11.4,2415.6,True
310,2967.0,46.77901,-121.74891,1541,11.4,2423.9,True
311,2976.6,46.77895,-121.74890,1541,12.3,2430.5,True
312,2986.2,46.77889,-121.74890,1540,13.2,2437.0,True
313,2995.7,46.77883,-121.74889,1540,14.1,2443.6,True
314,3005.3,46.77877,-121.74889,1539,14.1,2450.1,True
315,3014.9,46.77871,-121.74888,1539,14.1,2456.7,True
316,3024.4,46.77866,-121.74884,1539,14.0,2463.5,True
317,3034.0,46.77861,-121.74879,1538,13.9,2470.2,True
318,3043.6,46.77856,-121.74875,1538,13.8,2477.0,True
319,3053.1,46.77850,-121.74870,1538,13.8,2483.8,True
320,3062.7,46.77847,-121.74861,1538,13.3,2491.5,False
321,3072.3,46.77843,-121.74852,1537,12.8,2499.3,False
322,3081.9,46.77840,-121.74843,1537,12.3,2507.1,False
323,3091.4,46.77836,-121.74835,1537,12.3,2514.9,False
324,3101.0,46.77833,-121.74826,1536,12.3,2522.7,False
325,3110.6,46.77831,-121.74818,1536,12.9,2529.2,False
326,3120.1,46.77832,-121.74811,1535,14.1,2534.5,False
327,3129.7,46.77832,-121.74804,1535,15.4,2539.8,False
328,3139.3,46.77832,-121.74797,1535,16.0,2545.1,False
329,3148.9,46.77833,-121.74790,1534,16.0,2550.4,True
330,3158.4,46.77833,-121.74783,1534,16.0,2555.7,True
331,3168.0,46.77836,-121.74773,1534,14.4,2564.1,True
332,3177.6,46.77839,-121.74763,1534,12.9,2572.4,False
333,3187.1,46.77842,-121.74753,1533,11.4,2580.8,True
334,3196.7,46.77846,-121.74743,1533,11.4,2589.1,True
335,3206.3,46.77850,-121.74734,1532,11.1,2598.1,False
336,3215.9,46.77855,-121.74724,1531,10.8,2607.1,False
337,3225.4,46.77860,-121.74714,1530,10.5,2616.0,False
338,3235.0,46.77864,-121.74705,1530,10.5,2625.0,False
339,3244.6,46.77869,-121.74695,1529,10.5,2634.0,False
340,3254.1,46.77873,-121.74685,1528,10.5,2643.0,True
341,3263.7,46.77878,-121.74675,1528,10.2,2652.4,False
342,3273.3,46.77883,-121.74665,1527,10.0,2661.8,False
343,3282.9,46.77888,-121.74655,1526,9.8,2671.2,False
344,3292.4,46.77893,-121.74645,1526,9.8,2680.6,True
345,3302.0,46.77897,-121.74637,1525,10.7,2688.2,False
346,3311.6,46.77901,-121.74629,1525,11.6,2695.8,False
347,3321.1,46.77905,-121.74621,1524,12.5,2703.4,False
348,3330.7,46.77909,-121.74613,1524,12.5,2711.0,False
349,3340.3,46.77913,-121.74605,1523,12.5,2718.6,False
350,3349.8,46.77919,-121.74593,1522,10.8,2729.7,True
351,3359.4,46.77925,-121.74581,1522,10.1,2740.8,False
352,3369.0,46.77930,-121.74569,1521,11.9,2751.9,False
353,3378.6,46.77936,-121.74557,1521,11.9,2763.1,False
354,3388.1,46.77942,-121.74545,1520,11.9,2774.2,True
355,3397.7,46.77946,-121.74533,1520,11.3,2784.2,False
356,3407.3,46.77951,-121.74522,1519,10.8,2794.1,False
357,3416.8,46.77955,-121.74511,1519,10.2,2804.1,False
358,3426.4,46.77959,-121.74499,1519,10.2,2814.1,False
359,3436.0,46.77964,-121.74488,1518,10.2,2824.1,False
360,3445.6,46.77968,-121.74478,1518,9.8,2832.4,False
361,3455.1,46.77970,-121.74471,1517,11.5,2839.0,False
362,3464.7,46.77973,-121.74463,1517,13.1,2845.7,False
363,3474.3,46.77975,-121.74455,1517,14.0,2852.3,False
364,3483.8,46.77978,-121.74447,1516,14.0,2858.9,False
365,3493.4,46.77981,-121.74439,1516,14.0,2865.6,True
366,3503.0,46.77986,-121.74423,1515,10.4,2879.4,False
367,3512.6,46.77990,-121.74406,1514,12.3,2893.2,False
368,3522.1,46.77995,-121.74389,1514,15.9,2907.0,False
369,3531.7,46.78000,-121.74373,1513,15.9,2920.8,False
370,3541.3,46.78003,-121.74356,1512,15.7,2934.2,False
371,3550.8,46.78006,-121.74339,1512,15.5,2947.6,False
372,3560.4,46.78010,-121.74322,1511,15.3,2961.1,False
373,3570.0,46.78013,-121.74304,1510,15.3,2974.5,False
374,3579.6,46.78014,-121.74293,1509,12.9,2983.0,False
375,3589.1,46.78014,-121.74282,1508,10.5,2991.6,False
376,3598.7,46.78015,-121.74271,1508,11.1,3000.2,False
377,3608.3,46.78016,-121.74260,1507,11.1,3008.7,True
378,3617.8,46.78016,-121.74247,1506,10.4,3018.7,False
379,3627.4,46.78015,-121.74234,1506,9.7,3028.7,False
380,3637.0,46.78015,-121.74220,1505,10.2,3038.7,False
381,3646.6,46.78015,-121.74208,1505,10.1,3048.5,False
382,3656.1,46.78014,-121.74195,1504,10.0,3058.3,False
383,3665.7,46.78013,-121.74182,1503,9.9,3068.1,False
384,3675.3,46.78012,-121.74167,1503,10.7,3079.5,True
385,3684.8,46.78011,-121.74148,1501,13.0,3094.0,True
386,3694.4,46.78009,-121.74129,1500,15.4,3108.5,True
387,3704.0,46.78008,-121.74110,1499,17.0,3123.0,True
388,3713.5,46.78007,-121.74095,1498,15.7,3134.8,False
389,3723.1,46.78006,-121.74079,1498,14.4,3146.7,False
390,3732.7,46.78004,-121.74061,1497,14.0,3160.5,False
391,3742.3,46.78003,-121.74039,1496,16.7,3177.9,False
392,3751.8,46.78001,-121.74016,1495,19.5,3195.3,False
393,3761.4,46.77996,-121.73995,1494,20.9,3211.9,False
394,3771.0,46.77991,-121.73976,1493,20.2,3227.9,True
395,3780.5,46.77985,-121.73956,1492,19.6,3244.0,True
396,3790.1,46.77983,-121.73954,1492,12.8,3247.0,False
397,3799.7,46.77981,-121.73952,1492,12.9,3250.1,False
398,3809.3,46.77978,-121.73950,1491,19.4,3253.1,False
399,3818.8,46.77976,-121.73947,1491,19.4,3256.2,False
400,3828.4,46.77974,-121.73945,1491,19.4,3259.2,False
401,3838.0,46.77972,-121.73943,1491,19.4,3262.2,True
402,3847.5,46.77969,-121.73941,1490,19.4,3265.3,True
403,3857.1,46.77967,-121.73938,1490,19.4,3268.3,True
404,3866.7,46.77965,-121.73936,1490,19.4,3271.3,True
405,3876.3,46.77954,-121.73935,1489,14.6,3283.8,True
406,3885.8,46.77943,-121.73933,1488,9.9,3296.3,True
407,3895.4,46.77931,-121.73932,1487,14.0,3308.8,True
408,3905.0,46.77926,-121.73936,1487,10.7,3314.8,True
409,3914.5,46.77922,-121.73939,1486,11.7,3320.8,True
410,3924.1,46.77917,-121.73942,1486,15.0,3326.7,True
411,3933.7,46.77912,-121.73946,1486,15.0,3332.7,True
412,3943.3,46.77907,-121.73954,1486,14.1,3340.5,True
413,3952.8,46.77903,-121.73961,1485,13.2,3348.3,True
414,3962.4,46.77898,-121.73969,1485,12.3,3356.1,True
415,3972.0,46.77897,-121.73979,1485,12.3,3363.7,True
416,3981.5,46.77895,-121.73989,1484,12.4,3371.4,True
417,3991.1,46.77893,-121.73998,1484,12.4,3379.0,True
418,4000.7,46.77894,-121.74006,1484,13.1,3385.3,True
419,4010.2,46.77895,-121.74014,1484,13.9,3391.5,True
420,4019.8,46.77896,-121.74023,1483,14.6,3397.8,True
421,4029.4,46.77897,-121.74031,1483,14.6,3404.0,True
422,4039.0,46.77903,-121.74042,1482,12.4,3414.6,True
423,4048.5,46.77908,-121.74054,1482,10.2,3425.2,True
424,4058.1,46.77913,-121.74065,1481,11.1,3435.9,True
425,4067.7,46.77919,-121.74077,1480,11.1,3446.5,True
426,4077.2,46.77923,-121.74085,1479,9.9,3454.6,True
427,4086.8,46.77928,-121.74094,1478,10.5,3462.8,True
428,4096.4,46.77932,-121.74102,1478,11.7,3471.0,True
429,4106.0,46.77937,-121.74110,1477,11.7,3479.1,True
430,4115.5,46.77941,-121.74123,1476,10.4,3489.9,True
431,4125.1,46.77945,-121.74136,1476,10.1,3500.8,True
432,4134.7,46.77949,-121.74149,1475,11.5,3511.6,True
433,4144.2,46.77950,-121.74158,1474,9.6,3518.6,True
434,4153.8,46.77950,-121.74167,1474,11.5,3525.6,True
435,4163.4,46.77951,-121.74177,1473,13.5,3532.5,True
436,4173.0,46.77951,-121.74186,1473,13.5,3539.5,True
437,4182.5,46.77952,-121.74195,1472,13.5,3546.5,True
438,4192.1,46.77950,-121.74212,1472,10.4,3559.5,True
439,4201.7,46.77947,-121.74228,1471,11.8,3572.6,True
440,4211.2,46.77945,-121.74245,1470,14.8,3585.7,True
441,4220.8,46.77943,-121.74262,1470,14.8,3598.7,True
